Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-71.17563629,-75.88937378,-55.61885071,-39.92345428,2095038634
lift,-70.24491882,-75.11376953,-57.4979248,-49.29233551,2095055301
lift,-69.19007111,-74.16543579,-66.66956329,-61.62181091,2095071968
lift,-67.88418579,-73.29776764,-87.43655396,-56.25706863,2095088635
lift,-66.47094727,-72.62454224,-83.17588043,-46.45920563,2095105302
lift,-65.1583252,-72.00009918,-70.85449219,-46.20283508,2095121969
lift,-63.9048233,-71.32533264,-62.15185928,-48.87239075,2095138636
lift,-62.67027283,-70.50569916,-61.99390411,-59.14718628,2095155303
lift,-61.49691391,-69.52651215,-67.06368256,-69.34236145,2095171970
lift,-60.57609558,-68.38066101,-56.46702194,-76.67329407,2095188637
lift,-59.84361649,-67.20921326,-50.75549316,-72.58345795,2095205304
lift,-59.07701111,-66.07434082,-46.72275162,-65.80869293,2095221971
lift,-58.08031464,-65.17744446,-58.87971497,-51.34540558,2095238638
lift,-57.07369614,-64.6187439,-56.60119247,-36.61845398,2095255305
lift,-56.1330719,-63.90811539,-52.06135178,-46.23070145,2095271972
lift,-55.31070709,-63.19791031,-42.9450264,-45.66863632,2095288639
lift,-54.51124191,-62.49168396,-36.79800034,-42.01465988,2095305306
lift,-54.13117981,-61.85588837,-12.19494057,-37.56006241,2095321973
lift,-53.75877762,-61.30485535,-15.45482445,-37.05990982,2095338640
lift,-53.34062195,-60.77380753,-24.04157639,-39.45238495,2095355307
lift,-52.92979431,-60.34120941,-33.82447433,-35.86219406,2095371974
lift,-52.78474808,-59.76371765,-19.90157318,-44.65543747,2095388641
lift,-52.72585297,-59.31532288,-17.21840858,-36.66614151,2095405308
lift,-52.59261322,-58.8671608,-22.89161873,-36.42753983,2095421975
lift,-52.37015152,-58.3687706,-27.05848122,-39.3615303,2095438642
lift,-52.10383987,-57.78385925,-31.21897125,-43.94611359,2095455309
lift,-51.60222244,-57.3327179,-43.21003342,-35.56394196,2095471976
lift,-51.25807571,-56.94419861,-33.52058792,-31.45992088,2095488643
lift,-51.03231812,-56.53462219,-25.04074669,-31.49287987,2095505310
lift,-50.81534576,-56.11276245,-22.12347603,-29.6932888,2095521977
